id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
539,A. Gignac,32,France,80,Tigres U.A.N.L.,12.0,0,10.0,188.0,91.0,72.0,83.0,78.0,70.0,78.0,73.0,68.0,73.0,73.0,66.0,84.0,72.0,71.0,89.0,79.0,80.0,80.0,72.0,78.0
540,M. Gómez,32,Germany,80,VfB Stuttgart,12.0,0,27.0,188.0,88.0,60.0,81.0,82.0,70.0,73.0,72.0,50.0,71.0,63.0,62.0,82.0,76.0,60.0,86.0,74.0,73.0,83.0,62.0,69.0
541,I. Akinfeev,32,Russia,80,PFC CSKA Moscow,8.5,0,1.0,185.0,78.0,19.0,13.0,18.0,23.0,10.0,15.0,22.0,22.0,51.0,53.0,24.0,62.0,35.0,72.0,13.0,24.0,11.0,59.0,10.0
542,I. Denisov,34,Russia,80,Lokomotiv Moscow,4.5,0,27.0,179.0,69.0,67.0,61.0,59.0,80.0,60.0,73.0,74.0,78.0,67.0,77.0,71.0,70.0,86.0,64.0,63.0,88.0,64.0,72.0,62.0
543,Juanfran,33,Spain,80,Atlético Madrid,5.5,0,20.0,155.0,71.0,81.0,54.0,59.0,77.0,49.0,75.0,66.0,78.0,74.0,74.0,68.0,68.0,80.0,74.0,53.0,78.0,68.0,72.0,66.0
544,Diego López,36,Spain,80,RCD Espanyol,2.0,0,13.0,198.0,88.0,11.0,12.0,10.0,28.0,14.0,11.0,23.0,23.0,34.0,48.0,22.0,68.0,42.0,66.0,11.0,36.0,11.0,53.0,21.0
545,Santi Cazorla,33,Spain,80,Villarreal CF,8.5,0,19.0,170.0,66.0,85.0,71.0,58.0,85.0,72.0,84.0,84.0,86.0,58.0,72.0,77.0,53.0,53.0,54.0,76.0,64.0,76.0,86.0,80.0
546,Jesús Navas,32,Spain,80,Sevilla FC,11.5,0,16.0,173.0,59.0,82.0,64.0,55.0,75.0,75.0,80.0,73.0,80.0,89.0,87.0,75.0,65.0,82.0,35.0,70.0,63.0,79.0,73.0,56.0
547,J. Mascherano,34,Argentina,80,Hebei China Fortune FC,4.5,0,14.0,179.0,73.0,63.0,42.0,66.0,79.0,51.0,58.0,75.0,80.0,69.0,72.0,76.0,80.0,76.0,72.0,55.0,88.0,51.0,68.0,60.0
548,A. Mirante,34,Italy,80,Roma,6.0,0,83.0,195.0,78.0,10.0,17.0,13.0,35.0,15.0,24.0,35.0,25.0,44.0,50.0,23.0,62.0,33.0,55.0,15.0,32.0,10.0,43.0,21.0
549,D. Srna,36,Croatia,80,Cagliari,1.7,0,33.0,155.0,78.0,85.0,69.0,60.0,85.0,72.0,72.0,87.0,83.0,69.0,71.0,83.0,67.0,74.0,72.0,77.0,83.0,76.0,86.0,84.0
550,B. Schweinsteiger,33,Germany,80,Chicago Fire,6.0,0,31.0,182.0,78.0,76.0,69.0,75.0,82.0,79.0,71.0,83.0,78.0,36.0,61.0,81.0,71.0,67.0,75.0,77.0,77.0,73.0,81.0,77.0
551,Moyá,34,Spain,80,Real Sociedad,6.0,0,13.0,188.0,83.0,11.0,11.0,12.0,31.0,13.0,13.0,35.0,24.0,46.0,54.0,21.0,62.0,30.0,57.0,16.0,22.0,10.0,68.0,11.0
552,W. Rooney,32,England,80,DC United,12.0,0,9.0,179.0,83.0,77.0,80.0,75.0,81.0,83.0,74.0,82.0,80.0,65.0,66.0,85.0,74.0,74.0,78.0,80.0,81.0,80.0,82.0,81.0
553,Fernando Torres,34,Spain,80,Sagan Tosu,8.0,0,9.0,185.0,78.0,68.0,76.0,77.0,79.0,81.0,80.0,51.0,79.0,71.0,70.0,83.0,75.0,60.0,72.0,73.0,62.0,80.0,76.0,74.0
554,S. Sorrentino,39,Italy,80,Chievo Verona,1.0,0,70.0,185.0,84.0,11.0,10.0,10.0,36.0,18.0,14.0,34.0,20.0,34.0,52.0,21.0,74.0,28.0,74.0,13.0,22.0,10.0,34.0,20.0
